RECORDING_SESSION_LABEL,TRIAL_INDEX,CURRENT_FIX_DURATION,CURRENT_FIX_INDEX,CURRENT_FIX_X,CURRENT_FIX_Y,condition,file,group
STU03,1,83,1,1360,233.9,DL-M,CFD-WF-237-067-N.jpg,3
STU03,1,191,2,945.6,378.8,DL-M,CFD-WF-237-067-N.jpg,3
STU03,1,127,3,934,507.8,DL-M,CFD-WF-237-067-N.jpg,3
STU03,1,97,4,1574.9,446.6,DL-M,CFD-WF-237-067-N.jpg,3
STU03,1,1176,5,1006.5,253.9,DL-M,CFD-WF-237-067-N.jpg,3
STU03,1,675,6,951.4,279,DL-M,CFD-WF-237-067-N.jpg,3
STU03,1,1821,7,970,396.7,DL-M,CFD-WF-237-067-N.jpg,3
STU11,31,160,1,271.1,885.4,DL-E,CFD-WM-013-001-N.jpg,3
STU11,31,212,2,974.6,804.7,DL-E,CFD-WM-013-001-N.jpg,3
STU11,31,235,3,955.1,762,DL-E,CFD-WM-013-001-N.jpg,3
STU11,31,681,4,944.4,735.8,DL-E,CFD-WM-013-001-N.jpg,3
STU11,31,230,5,937.4,753.1,DL-E,CFD-WM-013-001-N.jpg,3
STU11,31,665,6,955.5,755.4,DL-E,CFD-WM-013-001-N.jpg,3
STU11,31,709,7,942,762.4,DL-E,CFD-WM-013-001-N.jpg,3
STU11,31,346,8,942.6,761.4,DL-E,CFD-WM-013-001-N.jpg,3
STU11,31,1104,9,949.3,761.8,DL-E,CFD-WM-013-001-N.jpg,3
